Date;Diesel Prices
févr 17, 2020;2,89
févr 24, 2020;2,882
mars 02, 2020;2,851
mars 09, 2020;2,814
mars 16, 2020;2,733
mars 23, 2020;2,659
mars 30, 2020;2,586
avr 06, 2020;2,548
avr 13, 2020;2,507
avr 20, 2020;2,48
avr 27, 2020;2,437
mai 04, 2020;2,399
mai 11, 2020;2,394
mai 18, 2020;2,386
mai 25, 2020;2,39
juin 01, 2020;2,386
juin 08, 2020;2,396
juin 15, 2020;2,403
juin 22, 2020;2,425
juin 29, 2020;2,43
juil 06, 2020;2,437
juil 13, 2020;2,438
juil 20, 2020;2,433
juil 27, 2020;2,427
août 03, 2020;2,424
août 10, 2020;2,428
août 17, 2020;2,427
août 24, 2020;2,426
août 31, 2020;2,441
sept 07, 2020;2,435
sept 14, 2020;2,422
sept 21, 2020;2,404
sept 28, 2020;2,394
oct 05, 2020;2,387
oct 12, 2020;2,395
oct 19, 2020;2,388
oct 26, 2020;2,385
nov 02, 2020;2,372
nov 09, 2020;2,383
nov 16, 2020;2,441
nov 23, 2020;2,462
nov 30, 2020;2,502
déc 07, 2020;2,526
déc 14, 2020;2,559
déc 21, 2020;2,619
déc 28, 2020;2,635
janv 04, 2021;2,64
janv 11, 2021;2,67
janv 18, 2021;2,696
janv 25, 2021;2,716
févr 01, 2021;2,738
